Date;ClientId;ProductId;Sum
23.12.2019;Гайдель Ирина Ивановна;Ботинки;150
23.12.2019;Гайдель Ирина Ивановна;Кофта;200
23.12.2019;Гайдель Ирина Ивановна;Куртка;1000
24.12.2019;Гайдель Лев Алексеевич;Шапка;100
24.12.2019;Гайдель Лев Алексеевич;Куртка;500
24.12.2019;Гайдель Лев Алексеевич;Ботинки;600
24.12.2019;Гайдель Лев Алексеевич;Кофта;300
25.12.2019;Иванов Иван Иванович;Брюки;250
25.12.2019;Иванов Иван Иванович;Шарф;100
25.12.2019;Иванов Иван Иванович;Пальто;1500
25.12.2019;Петров Петр Петрович;Ботинки;500
25.12.2019;Петров Петр Петрович;Кофта;200
26.12.2019;Петров Петр Петрович;Куртка;2000
27.12.2019;Петров Петр Петрович;Куртка;3000
